RCP_NM,rcp_parts_dtls_cleaned
통삼겹스테이크,"통삼겹 건로즈마리 로즈마리 올리브유 
곁들이채 백일송이 당근 양파 
곁들이채 미니파프리카 양파 식초 설탕 
매쉬포테이토 감자 버터 우유 
 스 된장 다진마늘 다진양파 플레인요구르트 설탕 
고명 볶은현미"
저염된장 삼치구이,"
 구이 스 일본된장 청주 
 곁들임 스 유자청 다진마늘 청고추 홍고추"
미역전복죽,"전복 찹쌀 당근 다시마 사방 
건조 자른미역 참기름 검정깨"
불고기미니볼,"다진 고기 다진양파 빵가루 계란 밀가루 
식용유 단호박 감자 로즈마리 
 
 스 딸기잼 오미자청 물"
치자연근물김치,"연근 당근 미나리 청고추 홍고추 알마늘 
치자가루 강청 식초 볶은 금 설탕"
훈제연어롤,"훈제연어 양파 피클 후춧가루 
 스 오렌지 오렌지 주스 설탕 레몬 
물녹말 스위트칠리 
 곁들임채 아스파라거스 어린잎"
크림닭,"닭가슴살 우유 금 후춧가루 
밀가루 달걀 빵가루 튀김기름 
양송이버섯 양파 버터 크림 스 
캐슈넛 크림 모짜렐라치즈 
 곁들임 어린잎 파슬리가루"
등심채소롤,"돼지등심 금 후춧가루 
파프리카 시금치 파인애플 치즈 
밀가루 달걀 빵가루 튀김기름 
 스 칠리 스 설탕 물녹말 녹말가루 물"
유부완자탕,"유부 두부 새우 배추 표고버섯 
양파 당근 마늘 저염 금 
후춧가루 미나리 저염간장"
미니밥버거,"밥패티 찹쌀 현미쌀 올리브오일 버터 
 고기패티 다진 고기 양파 마늘 
빵가루 크림 으깬두부 
 금 후춧가루 
 스 마요네즈 치즈 토마토"
파프리카볶음밥,"당근 쥬키니호박 표고버섯 양송이버섯 
파인애플 버터 밥 닭고기살 
다진마늘 저염간장 양파 올리고당 
토마토 페스트 토마토 파프리카 달걀 
모짜렐라치즈 파슬리가루"
리코타치즈돈가스,"돼지등심 금 후춧가루 올리브오일 
밀가루 달걀 빵가루 튀김기름 
 리코타치즈 우유 레몬즙 모짜렐라치즈 
 스 양파 토마토 마늘 사과 
케첩 돈가스 스"
삼겹살부추찜,"삼겹살 강 양파 월계수잎 
통후추 주 된장 부추 
편마늘 홍고추 
 스 저염간장 물 설탕 
올리고당 통후추 강 
물녹말 녹말 물"
전복죽,"쌀 전복 새우살 양송이 당근 
참기름 잣 
 스 저염간장"
오징어토마토초무침,"오징어 미나리 금 토마토 
양파 청고추 홍고추 파 
당근 통깨 
 식초 
생강즙 올리고당"
들깨칼국수,"밀가루 녹말가루 식용유 금 
달걀 애호박 홍고추 들깨가루 
 건새우 멸치 양파 다시마 
마늘 무"
소고기채소불고기,"
 추 통깨 
 스 저염간장 올리고당 참기름 다진마늘 후춧가루"
숙주라면,"홍합 숙주 청경채 청고추 홍고추 
고춧가루 굴 스 라면 파 
달걀 
 멸치 건새우 무 양파 
마늘"
곤약냉면,"실곤약 무 식초 금 설탕 
홍파프리카 오이 배 달걀 
 국물 동치미국물 배즙 홍초 
설탕 겨자 식초"
과일갈비찜,"돼지갈비 홍고추 참기름 통깨 
배 사과 추 밤 오이 
양파 당근 무 
 설탕 
다진 마늘 다진 파 다진 강 
후춧가루 주"
토마토소스닭갈비,"닭 강즙 주 양파 당근 
깻잎 양배추 고구마 
 스 토마토 토마토 스 마늘 
고춧가루 고추장 매실청"
골뱅이과일무침,"골뱅이 통깨 당근 양파 양배추 
깻잎 파 홍고추 청고추 황도 
배 사과 바나나 파인애플 
 마늘 
케첩 설탕 식초 매실액 
생강즙 참기름"
두유 마 떡갈비,"고기 돼지고기 떡볶이떡 흑미 
현미 백미 조 애호박 당근 
토마토 양송이버섯 양파 마늘 
달걀 시금치 설탕 금 저염간장 
참기름"
떡갈비와 미니잡곡밥,"고기 돼지고기 떡볶이떡 흑미 
현미 백미 조 애호박 당근 
토마토 양송이버섯 양파 마늘 
달걀 시금치 설탕 금 저염간장 
참기름"
리코타소스 연어샐러드,"연어 토마토 우유 레몬 
파인애플 아보카도 오이 오렌지 
어린잎 금"
망고무스케이크와 마카롱,"달걀 아몬드 레몬 망고퓨레 버터 
생크림 우유 물엿 금 설탕 
판젤라틴"
망고자몽드레싱 해산물전체,"관자 새우 방울토마토 크림 
파슬리 당근 오이 단호박 브로콜리 
감자 망고 레몬 자몽 설탕 
 금"
머쉬룸 닭스테이크,"닭고기 당근 양파 단호박 미니
양배추 새송이버섯 느타리버섯 버터 
 금 후춧가루 발사믹 스 
올리브오일"
미역소스와 타르타르,"관자 새우 미역 새송이버섯 
시금치 토마토 마늘 블랙올리브 
메추리알 레몬 두유 크림 
우유"
발사믹소스를 곁들인 오리스테이크,"오리고기 가슴살 당근 토마토 
새송이버섯 표고버섯 감자 아스파라거스 
 금 후추 올리브오일 발사믹 스 
양파"
방울토마토를 곁들인 너비아니구이와 쌈밥,"고기 흑미 아스파라거스 감자 
당근 사과 양송이버섯 방울토마토 
깻잎 배 브로콜리 마늘 설탕 
저염간장 참기름"
배차와 주악,"쌀가루 밀가루 막걸리 배 
통후추 꿀 강 식용꽃 계피 
설탕"
배추관자카나페,"관자 배춧잎 파프리카 레몬 
고추장 매실액 설탕 금 파슬리"
버섯과 두부 비프웰링턴,"고기 안심 두부 양송이버섯 양파 
당근 단호박 가지 감자 깻잎 
마늘 버터 밀가루 달걀 금"
복분자소스를 곁들인 닭테린,"닭고기 가슴살 시금치 브로콜리 
토마토 고구마 아스파라거스 복분자 
새송이버섯 마늘 치즈 전분 금 
후춧가루"
관자버터구이,"관자 시금치 비트 양파 오이피클 
고추피클 마요네즈 꿀 버터"
세 가지 미니 에피타이저,"연어 훈제연어 새우 애호박 사과 
오렌지 레몬 석류주스 판젤라틴"
식혜양갱과 수박증편,"엿기름 밥 미숫가루 막걸리 
 추 잣 백년초 밀가루 
찹쌀가루 버터 설탕 한천"
수박비빔국수와 수박고추장소스,다슬기살 호박잎 부추 달걀 물 된장 국멸치 건다시마 파 다진 마늘
미숫가루 부추전,부침가루 미숫가루 오징어 부추 감자 당근 양파 현미유 금 물
애호박장떡말이밥,밥 애호박 양파 풋고추 고추장 우리밀가루 물 현미유 흑임자 참기름 금
봄나물주먹밥,쌀 취나물 고사리 빨강파프리카 노랑파프리카 참기름 다진 마늘 금 통깨
달래두부김치무침,두부 달래 배추김치 홍피망 다진 파 다진 마늘 설탕 참기름 통깨 고춧가루 금
딸기소스닭가슴살채소무침,닭가슴살 방울토마토 양상추 브로콜리 적채 노랑 파프리카 빨강 파프리카 호상요구르트 딸기 호두 금
쑥호두달걀말이,달걀 쑥 당근 호두 현미유 금
시래기리조또,무청시래기 불린 것 밥 된장 다진 마늘 강즙 포도씨유 크림 버터
생과일과가자미까나페,식빵 딸기 참다래 가자미살 크래커 마요네즈 양파
꽃게살국,꽃게 꽃게살 양배추 토마토 된장 파 건다시마 다진 마늘 물
우엉들깨무침,"
 간장"
새우두부만두,칵테일 새우 두부 부추 표고버섯 금 후추 만두피 간장 식초 물 고춧가루
마마무스프,"무 마 우유 크림 시금치 
 파 양파 금 버터"
단호박리조또,"현미 단호박 양송이버섯 양파 
버터 우유 설탕 단호박가루 
생크림 요거트 
 곁들임 캐슈넛 아몬드 어린잎"
토마토떡볶이,"떡볶이떡 어묵 양파 당근 
표고버섯 양배추 파 
 스 고추장 케첩 올리고당 다진마늘 
토마토 사과 버터"
소고기채소볶음,"고기등심 금 후춧가루 
올리브오일 브로컬리 양파 당근 
토마토 파프리카 식용유 
 스 포도주스 올리고당 칠리 스"
양송이크림볶음밥,"닭고기살 양송이 떡볶이떡 양파 
당근 금 버터 밥 
우유 크림 치즈"
해물우동볶음,"새우 오징어 조 살 양배추 
파프리카 청경채 당근 양파 
저염버터 우동 굴 스 칠리 스 
가쯔오부시"
단호박닭꼬치,"닭다리살 우유 금 후춧가루 
떡볶이떡 단호박 양파 파 꼬치 
 스 고추장 다진마늘 다진양파 케첩 
올리고당"
떡갈비콩나물밥,"쌀 콩나물 표고버섯 브로컬리 
 김치떡갈비 다진 고기 배 맛술 
설탕 저염간장 파 
마늘 참기름 통깨 김치 
떡볶이떡 후춧가루"
크림치즈떡볶이,"떡볶이떡 펜네 양파 버터 
밀가루 크림 우유 
모짜렐라치즈 파슬리가루"
목살스테이크,"돼지목살 강 로즈마리 금 
후춧가루 칠리 스 케첩 포도주스 
양파 마늘 버터 브로컬리 당근 
적채 샐러리"
치킨완자스프,"버터 밀가루 크림 
브로컬리 우유 닭고기살 추 
표고버섯 당근 마늘 양파 
 금 후춧가루 참기름"
돼지고기말이튀김,"돼지등심 금 후춧가루 깻잎 
당근 청피망 양파 치즈 밀가루 
달걀 빵가루 튀김기름 
 튀김 스 마요네즈 두부 크림 
요구르트 설탕 머스터드 
 곁들임 어린잎"
단호박피자,"다진 고기 다진 마늘 금 
후춧가루 맛술 미니단호박 크림 
양송이 양파 당근 청피망 
파프리카 베이컨 햄 올리브오일 
모짜렐라치즈 파슬리가루"
L..A갈비구이,"L A갈비 배 양파 
 통후추 
올리고당 정종 설탕 매실액 
 파 다진것 다진 마늘 참기름 
통깨"
닭고기파스타,"마늘 양파 양송이버섯 버터 
스파게티 올리브오일 모짜렐라치즈 
 닭가슴살 닭살 금 후춧가루 
밀가루 
 스 토마토 토마토 스 올리고당 
굴 스 우유"
동글동글도넛,"고기 돼지고기 토마토 양파 
찹쌀가루 달걀 순두부 유자청 
 금 후춧가루"
된장크림소스 잡곡 오므라이스,"찹쌀 보리 율무 은행 팥 
 추 호박 홍피망 청피망 양파 
표고버섯 부추 마늘 달걀 전분 
된장 로즈마리 크림"
두릅부추 소고기말이,"고기 홍두깨살 부추 양파 두릅 
 파 마늘 저염간장 후춧가루"
두부 비빔호박쌈,"두부 쌀 강황쌀 당근 
애호박 숙주 고사리 호박잎 
파인애플 올리고당 고추장 저염간장 
 금"
두부곤약파스타,"곤약 두부 배 양파 파프리카 
양배추 적양배추 토마토 저염간장 
설탕 식초"
두유 라이크 파스타,"스파게티 양파 베이컨 새송이버섯 
브로콜리 홍고추 두유 견과류 
치즈 올리브오일"
라따뚜이,"토마토 가지 애호박 홀토마토 
양파 월계수잎 파슬리"
라이스페이퍼 야채롤,"새우 양파 파프리카 베이컨 
아스파라거스 라이스페이퍼 깻잎 땅콩 
블루베리"
브로컬리 단호박스프와 완두콩퓨레,"브로콜리 우유 단호박 고구마 
완두콩 식빵 밀가루 버터 
생크림 오렌지"
삼색샐러드와두부구이,"두부 홍피망 황파프리카 적채 
양파 깻잎 흑임자 밀가루 매실액 
저염간장 설탕 금"
새송이등갈비,"돼지고기 등갈비 새송이버섯 당근 
 파 양파 저염간장 후춧가루 
올리고당 마늘"
설렁탕쑥떡볶이,"돼지고기 뼈갈비 쑥 찹쌀가루 당근 
감자 숙주 청양고추 홍고추 금"
소안심 야채 호박잎쌈,"호박잎 적채 파프리카 양파 오이 
 고기 안심 다시마 두부 고추장 
설탕 식초 후춧가루"
양배추 고기말이,"양배추 돼지고기 등심 두부 시금치 
달걀 마늘 금 후춧가루"
양배추 쌈말이,"양배추 돼지고기 깻잎 사과 
파프리카 당근 다시마 마늘 
저염간장 후춧가루 가쓰오부시"
연어샐러드,"연어 레몬 발사믹 스 어린잎 
후춧가루 올리브오일"
오렌지 드레싱 타다키 부추샐러드,"오렌지 양파 고기 등심 레몬 
부추 양배추 견과류 금 
후춧가루"
,
배추토란국,토란 쇠고기 양지 배추 파 다진 마늘 고춧가루 된장 물 참기름
,
단호박푸딩,단호박 우유 달걀노른자 꿀
고등어된장구이,고등어 콩기름 양파 껍질 양파 일식된장 미 마요네즈 식초 맛술 강즙 다시마 국물
낙지브로콜리볶음,낙지 브로콜리 방울토마토 밀가루 양파 마늘 올리브유 금
주꾸미돌나물무침,주꾸미 돌나물 오이 노랑파프리카 빨강파프리카 양파 고추장 식초 매실액 다진 파 다진 마늘 통깨 고춧가루
사과소스폭찹,돼지고기 등심 금 후추 올리 브유 사과 양파 토마토 물 버터 올리브유 레몬즙
건도토리묵버섯들깨국,건도토리묵 불린것 표고버섯 느타리버섯 들깨가루 국멸치 건다시마 파 다진 마늘 국간장 금 물
무대하무침,무 새우 하 파 다진 마늘 고춧가루 간장 설탕 참기름 통깨
간편조기찜,조기 고사리 양파 홍고추 청고추 다진 마늘 다진 강 국간장 참기름 통깨 물
표고버섯쇠고기찜,표고버섯 다진 쇠고기 등심 양파 파 다진 마늘 간장 설탕 참기름 말린 청양고추
참나물돼지고기샐러드,돼지고기사태 참나물 양파 파 통마늘 강 후춧가루 양파 간장 식초 설탕 마늘 고춧가루 올리브유 통깨
연근배추홍시샐러드,연근배추샐러드 연근 배추 사과 배 땅콩 호두 현미유 물 홍시 홍시 호상요구르트 식초 금
열무곤약국수,"열무김치 실곤약 오이 레몬 
양파 계란 당근 통깨"
장어구이,"장어 우유 
뿌리채 조림 우엉 더덕 강 맛간장 강청 
올리고당 발사믹식초 
곁들이김치 명이김치 백김치"
안심스테이크,"안심 아스파라거스 당근 감자 호두 
 스 망고 블루베리잼 다진마늘 버터 포도주 
올리고당 흰후추 볶은 금"
로제파스타,"토마토홀 토마토 다진양파 다진마늘 
푸실리 치즈가루 파슬리가루 함초 금 마늘오일 
곁들이야채 양파 가지 파프리카 애호박"
가지라따뚜이,"가지 
피망 파프리카 양파 토마토페이스트 애호박 
치즈가루 바질잎"
쪽갈비구이,"쪽갈비 올리브오일 통후추 건 로즈마리 와인 
곁들이채 방울토마토 양파 레몬껍질 
 스 마요네즈 식초 홀그레인 머스터즈 설탕 다진마늘 백후추"
베이컨밀푀유,"알배추 깻잎 베이컨 
무 숙주 청경재 백일송이 
국물 채 국물 표고버섯 다시마 무 마늘 파뿌리 양파 맛간장 
 스 멸치간장 와사비 레몬즙 
 스 칠리 스 올리고당 레몬즙"
실곤약냉파스타,"실곤약 칵테일새우 브로콜리 바질 레몬즙 
 스 잣 바질페이 스 마늘오일 드라이토마토"
명란프리타타,"명란젓 크림 달걀 흰추후 시금치 
방울토마토 올리브유"
양송이구이,"양송이 로즈마리 
 다진 돼기고기 청양고추 후추 다진마늘 달걀 밀가루 
 스 홀스레디쉬 레몬즙 후추"
함초김치,"함초 알배추 양파 무 간편 어간장 
국물 오렌지주스 유자청 식초 설탕 야채국물"
연어스테이크,"연어 건조다시마 사방 잎녹차 브로콜리 호두 
귀리 쌀 미 된장 흰후추 화이트와인 크림 
수제조미료 닭 버터"
웰빙꼬치,"닭가슴살 자숙새우 라살 방울토마토 
단호박 파 파프리카 
양파 흰 후추 레드와인 다진 마늘 올리브오일 통후추 
 스 발사믹 식초 설탕 버터"
매운닭날개구이,"닭날 감자 방울토마토 브로콜리 
마늘 양파 버터 후추 황설탕 
고춧가루 레드와인 멕시코고추"
웰빙카레죽,"카레가루 귀리밥 닭가슴살 애호박 
감자 양파 방울토마토 
마늘 버터 칵테일새우"
닭가슴살 두부선,닭고기 가슴살 두부 비트 시금치 베이비채 마늘 참기름 흑임자 플레인요거트 식초 설탕 금
단호박 마전,단호박 마 밀가루 찹쌀가루 건 추 금
완두콩과 당근을 넣은 감자요거트 샐러드,완두콩 당근 감자 플레인요거트
무오색쌈,쌈무 쇠고기 달걀 당근 표고버섯 오이 연겨자 진간장 식초 참기름 깐마늘 설탕 통깨 금
흑마늘견과류조림,통마늘 마카다미아 호두 아몬드 캐슈넛 땅콩 두유 흑마늘진액 간장 물엿 깨
고구마 찰 빵,"
"
브로콜리견과류복음,"
"
유린기,"
 스 식초 저염간장 레몬즙 설탕 물 
 옥수수전분"
단호박 호밀빵,"
"
미숫가루 스콘,버터 박력분 강력분 미숫가루 베이킹파우더 우유 달걀 건크랜베리 호두
고구마 공갈빵,"
"
검은콩 크림빵,"
"
오이 소르베,오이 셀러리 줄기 요거트 과일 라임즙 아가베 시럽
리코타치즈 카프레제,방울토마토 우유 ㎖ 레몬즙 발사믹식초 레몬즙 올리브유
연두부 카프레제,깻잎 양파 방울토마토 연두부 두부 다진 마늘 치즈 간장 올리브유 참기름
연두부 토마토,연두부 방울토마토 스트링치즈 어린잎채 발사믹식초 사과 사과주스 플레인 요거트
들깨삼겹살과 참외쌈장,삼겹살 참외 간 크기 영양부추 들깻가루 마늘 통후추 저염 된장 다진 양파 다진 마늘 참깨 참기름 다진 청고추 다진 홍고추 고춧가루 다진 파 들깻가루 사과즙 견과류
돼지고기 포두부 파스타,양파 ½ 마늘 파 다진 돼지고기 두부면 새우 ¾컵 닭 청양고추 고추장 후춧가루 식초 올리브유 고춧가루
단호박 양파잼 샌드위치,양파 미니 단호박 삶은 달걀 우유 ½컵 식빵 슬라이스 체더치즈 말린 자두 ½컵 청상추 아몬드 슬라이스 ⅓컵 화이트와인 ⅓컵 꿀 금 후춧가루
시금치크림치즈 빵,"
"
무말랭이김치,무말랭이 식초 설탕 레몬 당근 오이 피클링스파이스 물
코울슬로샐러드,"
 마요네즈 마요네즈 설탕 식초"
마들깨미역국,건미역 마 깐들깨가루 건다시마 참기름 마늘 물
바지락맑은국,"
 다시마 청양고추 무 파 물"
통배추 겉절이,"
 참기름"
포니언 스프,"
 후춧가루"
가지 탕수육,돼지고기 두부 아삭이고추 가지 식용유 금 후춧가루 간장 올리고당 식초 전분 튀김가루
토마토소스 애호박냉파스타,토마토 참외 오이 양파 ½ 마늘 애호박 바질잎 블랙올리브 파우더 레몬즙 올리브유 금 페페론치노 저염 간장 식초 꿀
새우채소 김치롤,김치 ¼포기 오이 파프리카 노랑 빨강 각 깻잎 새우 달걀물 분량 무순 ⅓줌 크래미 식용유
토마토채소스프와 연어소바찜,토마토 무 당근 마늘 양파 연어 메밀면 월계수잎 금
참나물무말이 물김치,참나물 무 레몬 설탕 사과식초 물 ㎖ 사과식초 마늘 홍고추 사과 ½
소고기 무국,고기 무 파 느타리버섯 숙주 저염간장 물
매운락교무침,"
 참깨"
채소초밥,쌀 현미 현미찹쌀 애호박 새송이버섯 우엉 적파프리카 황파프리카 주황파프리카 식초 설탕 파래김 미향 레몬 건다시마
꽃게바지락찌개,꽃게 바지락 조선무 깐양파 애호박 두절콩나물 국멸치 건다시마 깐 파 국간장 고춧가루 된장 고추장 물
새뱅이찌개,물 다시마 양파 새뱅이 밀가루 호박 무 청양고추 파 마늘 쑥갓 고춧가루 고추장 금 간장
황태미역국,"
 황태머리 다시마 표고버섯 파 물 
 저염국간장"
매실입은가지닭볶음탕,닭고기 가지 매실엑기스 파 마늘 두유 간장 식초 미림 올리고당 참기름
홍시잼 식빵,"
"
콩가루 소보로,"
 
"
곤약 가스,냉동 곤약 채 썬 양파 납작 썬 마늘 채 ㎖ 아몬드 땅콩 통밀가루 미림 간장 간 마늘 토마토 페이스트 간장 설탕 발사믹식초 식용유 ㎖
두부크림 관자뇨키,양파 관자 새우 모시조 청양고추 두부 우유 ⅔컵 크림 ⅔컵 후춧가루 다진 마늘 바질 그라나파다노 치즈
"삼색나물, 토마토양념장",토마토 마늘 양파 꿀 식초 도라지 시금치 고사리 고추장 금 참기름
삼색 브레드 스틱,강력분 금 드라이이스트 버터 식용유 당근 참나물 연근 견과류 물
양배추말이 김치,양배추 시금치 오이 당근 고춧가루 간장 사과식초 사과즙
단호박 양고기볶음,콜리플라워 고구마 양파 양고기 부채살 마늘 단호박 올리브유 바질럽드 바질페스토 홀그레인 머스터드 다진 마늘
홍시에이드,홍시 배 탄산수 사이다
낙지묵은지콩나물국,낙지 묵은지 콩나물 무 파 마늘 국멸치 두유 간장 쌀뜨물 고춧가루
자색고구마 버터크림 빵,"
 
"
치아바타 피자빵,"
 스 토마토 양송이 버섯 양파 파프리카 로즈마리 식용유 물 
 토핑 저염치즈"
코코넛워터 토마토카레,양파 감자 당근 닭가슴살 토마토 코코넛워터 ㎖ 우유 ㎖ 현미밥 올리브유 후춧가루 카레가루 물 그릭요거트 금 올리브유 올리고당 다진 마늘 카레가루 파슬리가루
치즈 단호박,단호박 달걀 맛술 우유 모차렐라치즈 그라나파다노치즈 아몬드 플레이크 꿀 파슬리가루
강황 투움바 파스타,양파 양송이버섯 마늘 토마토 탈리아텔레 말린 토마토 다진 파슬리 핑크 페퍼 바질잎 바게트 물 무 양파 다시마 × 올리브유 강황가루 고운 고춧가루 식물성 크림 ⅔컵 두유 ¼컵 후춧가루
코다리 뿌리채소 들깨탕,코다리 무 연근 호박 우엉 느타리버섯 표고버섯 파 양파 청양고추 쑥갓 홍고추 다시멸치 다시마 들깨가루 마늘 강 후추가루 천일염
찹쌀 흰살 생선찜,배추 파 가자미 찹쌀가루 식초 맛술 새우젓 다진 마늘 다진 파 월계수잎 불린 찹쌀 고운 고춧가루 백후추 잘게 다진 새우젓
깻잎퓌레를 곁들인 삼치새우,깻잎 청경채 새우 삼치 크림 ㎖ 식용 꽃 삶은 감자 녹인 무염 버터 ㎖ 우유 ㎖ 레몬즙 금 후춧가루 건로즈메리 찹쌀가루 전분 올리브유 ㎖ 설탕 후춧가루 식용유 ㎖
참나물페스토 파스타,"
 참나물 페스토 참나물 잣 올리브유 금 
 올리브유"
카레삼겹살 파니니,방울토마토 아보카도 로메인 양파 ¼ 파 미나리 ⅓줌 마늘 패삼겹살 치아바타 올리브유 후춧가루 간장 꿀 카레가루 고운 고춧가루 플레인 요거트 꿀
어린잎채소 건두부말이,어린잎채 견과류 건두부 슈레드 모차렐라치즈 라임청 후춧가루 올리브유 다진 마늘
토마토 채소 계란찜,방울토마토 양파 브로콜리 그린빈스 계란 파마산치즈 크림 마늘 후추
배 깍두기,배 쪽파 고춧가루 액젓 마늘
바지락가자미완탕국,가자미살 두부 양파 파 후추 전분 바지락 무우 마늘 쑥갓 청홍고추 팽이버섯 물
저염보쌈김치,"""배추 배 추슬라이스 깐밤 당근 
 """
새우게살 파프리카롤,크래비 냉동 새우살 파프리카 빨강 주황 노랑 각각 냉동 아보카도 절임 올리브 그린 블랙 다진 파 다진 마늘 후춧가루 간 파르메산치즈 홀그레인 머스터드 요플레 올리고당
콩국물소스를 곁들인 게살 냉채,게살 수박 가지 적채 브로콜리 두부 우유 ㎖ 꿀 금 후춧가루 올리브유 ㎖
방아잎 닭고기말이,아스파라거스 닭다릿살 방울토마토 방아잎 ⅓줌 파르메산 치즈 레몬즙 맛간장 잣 마늘 올리브유 ⅔컵 간장 물 ½컵 사과 ½ 양파 ½ 마늘 파 ½ 플레인 요거트 ½컵 레몬즙 무가당 아보카도 마요네즈 파르메산 치즈 스테이크 시즈닝 파슬리가루
새우 카레 빠에야,양파 ½ 토마토 새우 쌀 ½컵 카레가루 황태 머리 다시마 × 다진 마늘 파슬리가루 후춧가루
오징어 가라아게&칠리소스,"
 전분"
콜라비 깍두기,"
 매실청 
 천일염"
비타 오이 물김치,오이 무 홍고추 파프리카 당근 미나리 식초 배 고춧가루 설탕
감자미역국,건미역 감자 다진마늘 참기름 국간장 물
청경채 김치,"
 다진생강 
 찹쌀가루"
두부 새우볼,두부 냉동 새우살 양파 새송이버섯 강가루 후춧가루 금 금 후춧가루 파슬리가루 식용유 버터 밀가루 우유 ㎖
소고기육전과 전복내장소스,부챗살 쪽파 홍고추 익힌 전복내장 다진 건새우 밀가루 달걀물 강 저염 간장 맛술 식초 참기름 후춧가루 식용유
라이스페이퍼 수제소시지,다진 돼지고기 사각 라이스페이퍼 새우젓 저염 간장 버섯가루 스테비아 찹쌀가루 후춧가루 훈제 파프리카파우더 카옌 페퍼 커민 다진 양파 다진 마늘
치즈토마토 가지구이,새송이버섯 양파 ½ 토마토 가지 돼지고기 목살 슈레드 모차렐라치즈 ½컵 올리브유 다진 마늘 쌈장 파프리카가루 바질잎
묵은지 밀푀유나베,묵은지 ¼포기 배추 깻잎 고기 샤브샤브용 콩나물 북어채
생선까스&타르타르소스,"
 후춧가루 레몬즙 
 타르타르 스 삶은 달걀 마요네즈 홍고추 청양고추 양파 후추 레몬즙"
곤약 감자조림,곤약 감자 풋고추 홍고추 다시마 간장 설탕 미림 참기름 식초 물
배추된장국,배추 두부 양파 파 다시멸치 청양고추 다진마늘 강즙 된장 쌀뜨물 물
한우굴라쉬,쇠고기 등심 양파 감자 파프리카 토마토 마늘 밀가루 토마토페이스트 케첩 버터 올리브유 월계수잎 금 후추 물
요거트강화순무김치,순무 쪽파 고운 고춧가루 굵은 고춧가루 다진마늘 플레인요거트 금
크림카레소스를 곁들인 함초두부스테이크,양파 당근 양송이버섯 불린 함초 으깬 두부 닭가슴살 달걀 빵가루 밀가루 버터 우유 강황가루 함초 금 다진 마늘 저염 간장 식용유
레몬등갈비구이,"
 주 로즈메리 다진마늘 후춧가루 올리브유 
 디핑 스 요거트 꿀 레몬즙"
과일 먹은 닭탕수,닭고기 다리살 포도 미니사과 파인애플 전분 설탕 레몬 청주 후추 금 물
,
구기자모듬장조림,한돈 사태 메추리알 당근 곤약 구기자 양파 파 다시마 마늘 표고버섯 저염간장
오미자저염나박김치,배추 콜라비 오이 당근 실파 청 홍고추 레몬 오미자엑기스 식초 설탕 물
메밀면 샐러드,양상추 당근 방울토마토 닭가슴살 메밀면 어린잎채 식초 간장 올리브유 다진 마늘 올리고당 유자청
치즈 두부 튀김,고구마 호두 우유 ㎖ 두부 빵가루 모차렐라치즈 식용유
단호박 라타투이,가지 주키니호박 ½ 토마토 ½ 단호박 훈제 오리 마늘 다진 양파 ½컵 다진 토마토 다진 파프리카 올리브유 금 후춧가루
느타리버섯볶음,"
 간장"
닭고기 바비큐,닭가슴살 홍피망 양파 노랑파프리카 양송이버섯 스 스 양파다진것 마늘다진것 케첩 홍토마토 설탕 물 br 이탈리안시즈닝 타임 로즈마리 바질 오레가노
,
,
등심 배구이,쇠고기등심 배 오이 잣가루 식용유 스 고기재움장 포도주 후춧가루 br 저나트륨초간장 스 간장 사과주스 식초 설탕 와사미
버섯소스를 곁들인 돼지 등심 스테이크,돼지등심 양송이버섯 표고버섯 애느타리버섯 파슬리다진것 버터 후춧가루 밀가루 식용유 화이트와인 물
,미나리잎장식
양송이버섯과 포도주스를 가미한 등심구이,쇠고기등심 양송이버섯 포도주스 토마토 물 바질 설탕 오레가노 마늘가루 금 파슬리다진것 월계수잎 로즈마리 통후추 타임
비타 오이 물김치,오이 무 홍고추 파프리카 당근 미나리 식초 배 고춧가루 설탕
새우살토마토스튜,새우살 토마토 양파 당근 애호박 건다시마 버터 케찹 후추 금 물
견과류문어떡갈비,돈민찌 우민찌 떡 문어 배 호두 아몬드 다진마늘 다진파 찹쌀가루 참기름 후추 밀가루 식용유 추 잣
배물김치,배 미나리 청홍고추 감자 설탕 마늘 강 물
성주참외동치미,참외 양파 배 파 마늘 홍고추 강 식초 설탕 누룩 금 물
애호박 순대,두부 새우 팽이버섯 당근 깻잎 파프리카 다진 고기 감자전분 달걀흰자 애호박 저염 간장 식초 적양파
버터치킨카레,양파 당근 ½ 토마토 닭고기 가슴살 다릿살 각 크림 파프리카 빨강 노랑 각 바게트 월계수잎 통후추 정향 요거트 가람마살라 코리앤더파우더 커민파우더 다진 마늘 파프리카가루 금 버터
소고기찜과 검은콩수제비,팽이버섯 ½봉 느타리버섯 ½줌 알배추 ½ 쪽파 가지 ½ 당근 ¼ 흰다리새우 관자 삶은 검은콩 ½컵 고기 불고기용 부채살 숙주 ⅓줌 달걀노른자 쑥갓 ⅓줌 미니 단호박 ½ 표고버섯 청경채 금 통밀가루 ¼컵 돼지감자가루 ¼컵 현미쌀가루 ¼컵 저염 간장 맛술 꿀 레몬즙 다진 쪽파 다진 청양고추
케이준 스타일 닭고기 요리,닭가슴살 식용유 파프리카가루 키엔페퍼 양파가루 마늘가루 후추 흰후춧가루 오레가노마른것 타임 마른것 바질마른것 로즈마리마른것 선택 황설탕
,
