RCP_NM,rcp_parts_dtls_cleaned
해물들깨탕,"주꾸미 전복 칵테일새우 양파 
청고추 홍고추 계란 청주 
국물 거피한 들깨가루 저염간장 다진마늘 다진 파"
참외깍두기,"참외 양파 청고추 홍고추 파 미나리 
"
새콤한연어샐러드,"연어 어린잎 말린 토마토 양파 미니파프리카 
 스 유자청 감식초 정종 볶은 금"
논우렁순무섞박지,"콜라비 논우렁 미나리 양파 청고추 홍고추 파 
"
코다리맑은탕,"코다리 무 감자 양파 청양고추 
미나리 백일송이버섯 참기름 
국물 다진마늘 저염간장 흰후추"
세가지샐러드,"연두부 닭고기살 통후추 단호박 
바나나 파프리카 토마토 어린잎 
 스 마 크림 요거트 식초 
올리브오일 설탕 흑임자 잣"
애호박들깨볶음,"애호박 금 양파 파 
홍고추 들기름 다진 마늘 건새우 
들깨가루"
고구마바나나샐러드,"고구마 바나나 요거트 어린잎 
잣 연유"
누룽지새우튀김,"새우 금 후춧가루 
튀김가루 달걀 누룽지 튀김기름 
 스 오렌지주스 설탕 식초 
 곁들임채 어린잎"
백김치주꾸미샐러드,"백김치 주꾸미 파 양상추 
홍고추 어린잎 
 샐러드 저염간장 식초 설탕 
꿀 레몬 양파 마늘"
닭고기월남쌈,"닭고기살 로즈마리 양파 금 
후춧가루 오이 파프리카 당근 
라이스페이퍼 녹말가루 식용유 
 스 다진 마늘 고춧가루 설탕 
식초 레몬즙"
양배추롤,"닭고기살 천일염 후춧가루 식용유 
정종 양배추 부추 깻잎 
홍파프리카 노랑파프리카 당근 양파 
 스 요거트 머스터드 꿀 레몬즙 
설탕"
단호박소고기롤,"고기 저염간장 다진 마늘 설탕 
파프리카 오이 적양배추 사과 
설탕 팽이버섯 무순 
 밀전병 단호박 밀가루 금 
 스 다진 마늘 다진 양파 올리브오일 
설탕 식초 금"
생선카레튀김,"생선살 강 정종 녹말가루 
깻잎 
 튀김 죽 콩가루 밀가루 카레가루 
녹말가루 달걀 
 스 마요네즈 요구르트 설탕 식초 
 곁들임채 양상추"
삼겹가지볶음,"삼겹살 강 정종 가지 양파 
당근 깻잎 느타리버섯 파 
식용유 참기름 잣 통깨 
 저염간장 
올리고당 후춧가루 설탕"
주꾸미샐러드,"주꾸미 밀가루 식초 
양상추 미나리 홍고추 피망 
 스 배 무 와사비 설탕 
다진 마늘 식초 금"
닭가슴살현미스테이크,"닭가슴살 정종 카레가루 
현미쌀 튀김기름 
 스 토마토 스 크림 
 곁들임채 적양배추 양배추"
삼겹선,"삼겹살 정종 금 후춧가루 
생강즙 조 쌀 양파 파프리카 
당근 새송이버섯 표고버섯 깻잎 파 
 스 설탕 식초 레몬 금 
고춧가루 매실액"
미니버섯탕수,"미니버섯 금 녹말가루 
달걀흰자 튀김기름 
 스 저염간장 홍초 설탕 
브로컬리 오이 당근 
홍파프리카 노란파프리카 
물녹말 녹말가루 물"
연어오븐구이,"연어 양파 토마토 파프리카 
당근 마늘 청피망 레몬 금 
후춧가루 크림 화이트크림 버터"
옥음밥,"옥수수콘 애호박 당근 양파 
새송이버섯 마늘 라이스페이퍼 
저염간장 쌀 후춧가루 식용유"
와사비 연어초밥,"연어 쌀 당근 표고버섯 
겨자가루 새싹 파슬리 식초 설탕 
 금"
원소병,"찹쌀가루 치자 오미자 추 귤병 
유자청 꿀 녹말 잣"
음메꼬꼬돌돌,"고기 달걀 닭고기 가슴살 미나리 
찹쌀가루 홍고추 금 후춧가루 
통후추 저염간장 설탕 식초"
전복리조또,"쌀 전복 당근 양파 양송이버섯 
우유 올리브오일 금 후춧가루 
버터"
참깨흑임 자연두부샐러드,"연두부 참깨 흑임자 파프리카 
무순 날치알 설탕 식초 마요네즈 
우유"
초계탕,"닭고기 다리 양파 파프리카 적양배추 
오이 마늘 겨자가루 파 금 
설탕 식초"
콩나물부추볶음,"콩나물 부추 양파 당근 파 
감자 금 식용유"
콩비지포카치아 샌드위치,"포카치아빵 콩비지 무장아찌 토마토 
생치즈 루꼴라 올리브오일"
파프리카더덕소고기깻잎롤,"고기 살치살 파프리카 더덕 깻잎 
파인애플 아스파라거스 양파 꿀 
레몬 식초 금 올리브오일 
후춧가루"
해물아란치니,"오징어 새우 토마토 양파 
마늘 샐러리 밥 달걀 어린잎 
 금 레몬 빵가루"
호박잎삼계,"닭고기 인삼 미나리 추 
찹쌀 금 후춧가루"
노른자크림 육회샐러드,"고기 홍두깨살 두릅 아보카도 
배 마늘 달걀 레몬 크림치즈 
설탕 금 참기름"
닭고기 완자삼계죽,"닭고기 인삼 찹쌀 추 마늘 
 파 양파 통후추 저염간장"
대하마늘볶음밥,"
 저염간장"
두부 카프리제,"고기 돼지고기 표고버섯 마 
연근 감자 깻잎 애호박 마늘 
두유 설탕 금 저염간장"
미역볶음밥,"
양파 당근 
 맛술"
청국장볶음밥,"
당근 애호박 우엉 마늘 시금치 참나물 
깻잎 미나리 
 다시마 
 들기름"
해물볶음밥,"볶음밥 쌀 아스파라거스 새송이버섯 달걀 
문어 새우살 주꾸미 
미나리볶음고추장 무 우엉 미나리"
토마토카레 채소볶음밥,"
밥 브로콜리 방울토마토 플레인 요구르트 
 카레가루"
구운주먹밥,"
밥 참기름 참깨 
 식초"
